ds,holiday,country,year
03/10/2015,Tag der Deutschen Einheit,DE,2015
01/01/2016,Neujahr,DE,2016
25/03/2016,Karfreitag,DE,2016
28/03/2016,Ostermontag,DE,2016
01/05/2016,Erster Mai,DE,2016
05/05/2016,Christi Himmelfahrt,DE,2016
16/05/2016,Pfingstmontag,DE,2016
03/10/2016,Tag der Deutschen Einheit,DE,2016
01/01/2017,Neujahr,DE,2017
14/04/2017,Karfreitag,DE,2017
17/04/2017,Ostermontag,DE,2017
01/05/2017,Erster Mai,DE,2017
25/05/2017,Christi Himmelfahrt,DE,2017
05/06/2017,Pfingstmontag,DE,2017
03/10/2017,Tag der Deutschen Einheit,DE,2017
31/10/2017,Reformationstag,DE,2017
01/01/2018,Neujahr,DE,2018
30/03/2018,Karfreitag,DE,2018
02/04/2018,Ostermontag,DE,2018
01/05/2018,Erster Mai,DE,2018
10/05/2018,Christi Himmelfahrt,DE,2018
21/05/2018,Pfingstmontag,DE,2018
03/10/2018,Tag der Deutschen Einheit,DE,2018
01/01/2019,Neujahr,DE,2019
19/04/2019,Karfreitag,DE,2019
22/04/2019,Ostermontag,DE,2019
01/05/2019,Erster Mai,DE,2019
30/05/2019,Christi Himmelfahrt,DE,2019
10/06/2019,Pfingstmontag,DE,2019
03/10/2019,Tag der Deutschen Einheit,DE,2019
01/01/2020,Neujahr,DE,2020
10/04/2020,Karfreitag,DE,2020
13/04/2020,Ostermontag,DE,2020
01/05/2020,Erster Mai,DE,2020
21/05/2020,Christi Himmelfahrt,DE,2020
01/06/2020,Pfingstmontag,DE,2020
03/10/2020,Tag der Deutschen Einheit,DE,2020
01/01/2021,Neujahr,DE,2021
02/04/2021,Karfreitag,DE,2021
05/04/2021,Ostermontag,DE,2021
01/05/2021,Erster Mai,DE,2021
13/05/2021,Christi Himmelfahrt,DE,2021
24/05/2021,Pfingstmontag,DE,2021
03/10/2021,Tag der Deutschen Einheit,DE,2021
01/01/2022,Neujahr,DE,2022
15/04/2022,Karfreitag,DE,2022
18/04/2022,Ostermontag,DE,2022
01/05/2022,Erster Mai,DE,2022
26/05/2022,Christi Himmelfahrt,DE,2022
06/06/2022,Pfingstmontag,DE,2022
03/10/2022,Tag der Deutschen Einheit,DE,2022
