variable,mapping
display_prog_dir_spend,DISPLAY PROGRAMMATIC DIRECT
email_total_opens,EMAIL TOTAL OPENS
engagement_montization_other_clicks,ENGAGEMENT MONETIZATION OTHER CLICKS
organic_youtube_views,YOUTUBE VIEWS
promo_discount_weighted,PROMO DISCOUNT WEIGHTED
retail_spend,RETAIL
social_video_twitter_spend,TWITTER
tv_total_spend_corrected,TV TOTAL
youtube_social_video_spend,YOUTUBE
tiktok_social_video_spend_total,TIKTOK
engagement_monetization_other_clicks,ENGAGEMENT MONETIZATION OTHER CLICKS
season,SEASON
total_tv_corrected_spend,TV TOTAL
tiktok_spend,TIKTOK
snapchat_twitter_spend,SNAPCHAT TWITTER
holiday,HOLIDAY
facebook_spend,FACEBOOK
ott_directvideo_progvideo_spend,OTT DIRECTVIDEO PROGVIDEO
directdisplay_progdisplay_spend,DIRECTDISPLAY PROGDISPLAY
console_spend,CONSOLE
season_launch_reengaged_1,SEASON LAUNCH REENGAGED
youtube_spend,YOUTUBE
stringency,STRINGENCY
in_game_total_clicks,IN GAME TOTAL CLICKS
platform_distribution_reengaged,PLATFORM DISTRIBUTION REENGAGED
twitch_minutes_watched,TWITCH MINUTES WATCHED
st_conversn,ST CONVERSION
competitor_spend,COMPETITOR
ooh_spend,OOH
youtube_total_spend,YOUTUBE
